链id,链名,代码,名称,市场,环节,关系档,置信,证据状态,来源,证据缺失?,reason,【审】新关系档,【审】处理(保留/改档/移出/升级),【审】reviewStatus,【审】改reason或备注
ai-infra,AI 推理基础设施链,600875,东方电气,CN,数据中心电力/发电,sentiment,low,needs_review,insight,,"发电装备,承接「算力耗电→发电需求」宏大叙事;传导链最长、映射最弱,本质是能源股",remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
data-center-power,AI 数据中心电力基础设施链,300693,盛弘股份,CN,数据中心供配电 / HVDC,direct,medium,partially_verified,insight,,"数据中心 HVDC / 电力电子,对标 Vertiv 电力侧,数据中心供配电业务暴露明确",,保留,needs_evidence,可保留直接/中置信，但 reason 里“业务暴露明确”建议补来源；无来源时改成“业务入口相对明确，仍需订单/收入占比验证”。
data-center-power,AI 数据中心电力基础设施链,002518,科士达,CN,UPS / 数据中心电源,direct,medium,partially_verified,insight,,"数据中心 UPS / 供电系统传导距离短,业务暴露明确;看数据中心 UPS 订单、客户结构、收入占比、毛利率",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,002837,英维克,CN,数据中心液冷 / 温控,direct,medium,partially_verified,insight,,"主营核心业务明确服务数据中心液冷 / 温控,传导路径可从「数据中心功率密度提升→散热系统升级→温控/液冷设备需求」直接解释",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,301018,申菱环境,CN,数据中心专用温控,direct,medium,partially_verified,insight,,"主营含数据中心专用空调与液冷系统,业务直接绑定数据中心散热,传导路径不超两跳",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,688676,金盘科技,CN,供配电 / 干式变压器,direct,medium,partially_verified,insight,,"数据中心供配电 / 干式变压器 / 数字化电力设备的直接映射样本;需看数据中心客户、干变订单、数字化电力收入与交付节奏验证(当前池内变压器环节仅此样本,后续按披露补充,详见分级说明)",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,300249,依米康,CN,数据中心温控 / 机房环境控制,direct,medium,partially_verified,insight,,"数据中心精密空调与机房环境控制属散热基础设施核心环节,传导路径直接;需看数据中心温控订单、客户项目、收入占比验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,603912,佳力图,CN,数据中心精密空调 / 温控,direct,medium,partially_verified,insight,,"机房精密空调是数据中心散热基础设施,传导路径直接;仍需数据中心客户、精密空调订单、收入占比验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,002364,中恒电气,CN,电源 / HVDC,indirect,medium,partially_verified,insight,,"HVDC 与数据中心供电系统相关,但仍需通过数据中心客户、项目订单和收入占比验证,先按间接映射处理(证据充分再上调直接)",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,300870,欧陆通,CN,服务器电源,indirect,medium,partially_verified,insight,,"服务器电源属服务器配套,给 AI 服务器供电但机房供配电暴露间接、传导多一跳,数据中心收入占比待验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,300499,高澜股份,CN,液冷,indirect,medium,partially_verified,insight,,"纯水冷却 / 液冷,数据中心 AI 暴露纯度与订单验证不足,需更多证据确认",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,300990,同飞股份,CN,液冷 / CDU,indirect,medium,partially_verified,insight,,"冷板及浸没液冷、CDU,数据中心 AI 暴露纯度与收入占比待验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,920808,曙光数创,CN,液冷基础设施,direct,medium,partially_verified,insight,,"浸没液冷基础设施与高功率数据中心散热升级的传导距离较短;不代表一定受益,仍需通过数据中心项目、客户订单和收入占比验证",,保留,ok,直接/中置信通过；继续强调不是确定受益，需订单和收入占比验证。
data-center-power,AI 数据中心电力基础设施链,300602,飞荣达,CN,液冷板 / CDU / 热管理件,indirect,low,needs_review,insight,⚠证据待补,"液冷板、CDU 及热管理器件,偏材料件 / 通用热管理,数据中心 AI 暴露纯度与收入占比待验证",,保留,needs_evidence,保留当前间接/低置信；需补数据中心客户、订单或收入占比证据，证据不足不得上调。
data-center-power,AI 数据中心电力基础设施链,002335,科华数据,CN,UPS / 数据中心电源 / IDC 基础设施,direct,medium,partially_verified,insight,,"UPS / 数据中心电源 / IDC 基础设施业务与数据中心供电传导距离短,可作电力基础设施链直接样本;仍看数据中心客户、UPS 订单、IDC 收入与交付验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,002028,思源电气,CN,输配电 / 储能,indirect,medium,partially_verified,insight,,"输配电、储能与数据中心超级电容,主业电网、数据中心为新方向",,保留,needs_evidence,保留间接；建议分组为“输配电/电网侧外溢”，不放能源侧弱/情绪组。
data-center-power,AI 数据中心电力基础设施链,002851,麦格米特,CN,电源平台,indirect,medium,partially_verified,insight,,"电源 + 电控平台,数据中心电源为其分部,占比待验证",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,300068,南都电源,CN,备用电源 / 储能,indirect,medium,partially_verified,insight,,"备用电源与储能可服务数据中心,但非最短传导环节,业务易与泛储能混同;先间接更稳。看数据中心备用电源订单、储能项目客户、收入占比",,保留,ok,电力链口径整体通过；保留当前关系。
data-center-power,AI 数据中心电力基础设施链,002922,伊戈尔,CN,电源 / 变压器 / 磁性器件,indirect,low,needs_review,insight,⚠证据待补,"电力电子 / 磁性器件相关,但缺明确数据中心供配电客户、订单或收入披露则不上调直接;看数据中心客户、变压器/电源订单验证",,保留,needs_evidence,保留当前间接/低置信；需补数据中心客户、订单或收入占比证据，证据不足不得上调。
data-center-power,AI 数据中心电力基础设施链,600875,东方电气,CN,发电装备,sentiment,low,needs_review,insight,,"重型燃机 / 核电 / 发电装备,承接「算力耗电→发电需求」宏大叙事,传导链最长、映射最弱,本质是能源装备股",,保留,ok,保持情绪/弱映射；不得进入直接或间接核心组。
data-center-power,AI 数据中心电力基础设施链,601985,中国核电,CN,核电运营,weak,low,needs_review,insight,,"在运在建核电资产,「算力耗电」宏大叙事的最远端,与数据中心建设无直接业务连接",,保留,ok,保持情绪/弱映射；不得进入直接或间接核心组。
data-center-power,AI 数据中心电力基础设施链,003816,中国广核,CN,核电运营,weak,low,needs_review,insight,,"核电站开发运营,稳定现金流类资产,和数据中心订单缺明确连接",,保留,ok,保持情绪/弱映射；不得进入直接或间接核心组。
ai-infra,AI 推理基础设施链,688111,金山办公,CN,办公 / 生产力 AI,indirect,medium,partially_verified,insight,,"WPS AI 有真实付费用户与订阅收入,应用链里自身 AI 业务可验证性相对高;但与海外应用无业务关系,受益看自身 AI 付费转化",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,300033,同花顺,CN,金融信息 AI,indirect,medium,partially_verified,insight,,"金融信息 AI 有付费用户与增值服务,受 AI 应用趋势间接带动;和海外应用无供货,看自身 AI 增值收入兑现",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,002230,科大讯飞,CN,语音 / 多模态 AI,indirect,medium,partially_verified,insight,,"语音 / 多模态 AI + 政企订单有真实 AI 业务;受趋势间接带动,看政企 / 教育 / 医疗 AI 订单兑现,商业化节奏不一",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,300418,昆仑万维,CN,大模型 / AIGC 平台,sentiment,low,needs_review,insight,,"天工大模型 / AIGC 题材热,但 AI 收入占比小、商业化早期,海外应用涨多为情绪带动",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,601360,三六零,CN,安全 / 垂直 AI,sentiment,low,needs_review,insight,,"360 智脑 / AI 搜索题材,AI 收入占比小,情绪映射为主",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,300496,中科创达,CN,端侧 AI 软件,sentiment,medium,partially_verified,insight,,"端侧 AI 软件 / OS 与海外企业级应用不同赛道,受泛 AI 应用情绪带动,非同一驱动",remove,移出,move_to_ai_application_segment,AI 应用不属于“AI 推理基础设施链”；应挂 AI 主链应用侧 insight/segment。A 股无直接映射，保留自身商业化可验证/情绪映射口径。
ai-infra,AI 推理基础设施链,000977,浪潮信息,CN,服务器/算力代工,candidate,low,needs_review,chain,,国产 AI 服务器龙头,direct,升级,needs_evidence,升级为 AI 服务器/算力基础设施直接映射，中置信；reason 写“服务器整机环节，后续看 AI 服务器订单、运营商/云厂/政企客户、收入和毛利率”。
ai-infra,AI 推理基础设施链,002281,光迅科技,CN,光模块/高速互连,candidate,low,needs_review,chain,,光芯片+光模块国家队,indirect,升级,needs_evidence,光模块/光芯片相关，可从 candidate 升间接；需补高速数通光模块/客户/订单证据，不建议直接。
ai-infra,AI 推理基础设施链,300570,太辰光,CN,光模块/高速互连,candidate,low,needs_review,chain,,无源光器件,indirect,升级,needs_evidence,无源光器件/光模块上游，升间接；说明是上游器件，不是光模块整机直接映射。
ai-infra,AI 推理基础设施链,002463,沪电股份,CN,服务器/算力代工,candidate,low,needs_review,chain,,AI 服务器高多层 PCB,indirect,升级,needs_evidence,AI 服务器 PCB，升间接；不是整机直接，后续看 AI 服务器 PCB订单/客户/毛利。
ai-infra,AI 推理基础设施链,002916,深南电路,CN,服务器/算力代工,candidate,low,needs_review,chain,,PCB + 封装基板,indirect,升级,needs_evidence,PCB/封装基板相关，升间接；需 AI 服务器/封装基板收入验证。
ai-infra,AI 推理基础设施链,300476,胜宏科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,高阶 HDI/PCB,indirect,升级,needs_evidence,高阶 PCB/HDI 可升间接；需 AI 服务器订单和收入占比验证。
ai-infra,AI 推理基础设施链,600183,生益科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,覆铜板龙头,indirect,升级,needs_evidence,覆铜板属 AI 服务器 PCB 上游材料，升间接；传导隔一层，需订单验证。
ai-infra,AI 推理基础设施链,688981,中芯国际,CN,先进封装/封测,candidate,low,needs_review,chain,,国产晶圆代工龙头,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,002371,北方华创,CN,半导体设备,candidate,low,needs_review,chain,,国产半导体设备龙头,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688012,中微公司,CN,半导体设备,candidate,low,needs_review,chain,,刻蚀设备国产龙头,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,603986,兆易创新,CN,存储/HBM,candidate,low,needs_review,chain,,存储+MCU 国产龙头,remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,300661,圣邦股份,CN,其他链上环节,candidate,low,needs_review,chain,,模拟芯片平台型龙头,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,603501,韦尔股份,CN,其他链上环节,candidate,low,needs_review,chain,,CIS 图像传感器龙头,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,688521,芯原股份,CN,国产算力芯片,candidate,low,needs_review,chain,,国产芯片设计 IP 平台,sentiment,改档,needs_evidence,芯片 IP/设计平台属国产半导体生态，不是 AI 推理基础设施短传导，先 sentiment 或移入国产芯片链。
ai-infra,AI 推理基础设施链,301269,华大九天,CN,国产算力芯片,candidate,low,needs_review,chain,,国产 EDA 龙头,sentiment,改档,needs_evidence,EDA 属半导体设计工具，建议移入半导体设备/EDA链；若留 AI 推理仅 sentiment。
ai-infra,AI 推理基础设施链,603893,瑞芯微,CN,其他链上环节,candidate,low,needs_review,chain,,端侧 AI SoC 龙头,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,000063,中兴通讯,CN,光模块/高速互连,candidate,low,needs_review,chain,,通信设备+算力服务器,indirect,升级,needs_evidence,通信设备/算力服务器/交换网络相关，升间接；建议环节改“服务器/网络设备”，不要放光模块。
ai-infra,AI 推理基础设施链,000938,紫光股份,CN,光模块/高速互连,candidate,low,needs_review,chain,,"新华三,交换机+服务器",indirect,升级,needs_evidence,新华三服务器/交换机相关，升间接；建议环节改“服务器/网络设备”。
ai-infra,AI 推理基础设施链,002475,立讯精密,CN,服务器/算力代工,candidate,low,needs_review,chain,,连接器+算力组件,indirect,升级,needs_evidence,连接器/算力组件属硬件上游，升间接；需服务器/数据中心订单验证。
ai-infra,AI 推理基础设施链,002335,科华数据,CN,液冷/温控,candidate,low,needs_review,chain,,数据中心+储能温控,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,300499,高澜股份,CN,液冷/温控,candidate,low,needs_review,chain,,纯水冷却+液冷,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002851,麦格米特,CN,数据中心电力,candidate,low,needs_review,chain,,电源+电控平台,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,300870,欧陆通,CN,数据中心电力,candidate,low,needs_review,chain,,服务器电源,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,601728,中国电信,CN,数据中心电力,candidate,low,needs_review,chain,,运营商云+算力网络,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,600050,中国联通,CN,数据中心电力,candidate,low,needs_review,chain,,运营商云+IDC,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002747,埃斯顿,CN,其他链上环节,candidate,low,needs_review,chain,,国产工业机器人龙头,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,300124,汇川技术,CN,其他链上环节,candidate,low,needs_review,chain,,工控+机器人平台,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,002049,紫光国微,CN,其他链上环节,candidate,low,needs_review,chain,,特种芯片+FPGA,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,300782,卓胜微,CN,其他链上环节,candidate,low,needs_review,chain,,射频前端龙头,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,002261,拓维信息,CN,服务器/算力代工,candidate,low,needs_review,chain,,华为昇腾生态算力,sentiment,改档,needs_evidence,华为昇腾生态映射更偏国产算力情绪/生态，先改 sentiment；需订单/收入证据再考虑 indirect。
ai-infra,AI 推理基础设施链,300442,润泽科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,自建自持AIDC、智算集群和液冷运维,indirect,升级,needs_evidence,AIDC/智算集群/液冷运维与算力基础设施相关，升间接；需收入和客户验证。
ai-infra,AI 推理基础设施链,002028,思源电气,CN,数据中心电力,candidate,low,needs_review,chain,,输配电、储能、电能质量与数据中心超级电容,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,601985,中国核电,CN,数据中心电力,candidate,low,needs_review,chain,,在运与在建核电资产、稳定电力现金流,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,688072,拓荆科技,CN,半导体设备,candidate,low,needs_review,chain,,薄膜沉积设备,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300604,长川科技,CN,半导体设备,candidate,low,needs_review,chain,,测试机与分选机，承接先进封装测试扩容,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688120,华海清科,CN,半导体设备,candidate,low,needs_review,chain,,CMP设备与减薄装备,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,000988,华工科技,CN,光模块/高速互连,candidate,low,needs_review,chain,,数通光模块、激光与传感,indirect,升级,needs_evidence,数通光模块/激光器相关，升间接；需验证数据中心光模块收入和客户。
ai-infra,AI 推理基础设施链,688498,源杰科技,CN,光模块/高速互连,candidate,low,needs_review,chain,,高速激光器芯片,indirect,升级,needs_evidence,高速激光器芯片属光模块上游，升间接；需订单/收入验证。
ai-infra,AI 推理基础设施链,603228,景旺电子,CN,服务器/算力代工,candidate,low,needs_review,chain,,多品类PCB与AI服务器板升级,indirect,升级,needs_evidence,多品类 PCB 与 AI 服务器板升级相关，升间接；需客户/订单验证。
ai-infra,AI 推理基础设施链,301308,江波龙,CN,存储/HBM,candidate,low,needs_review,chain,,存储品牌、模组和企业级存储,remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,688525,佰维存储,CN,存储/HBM,candidate,low,needs_review,chain,,嵌入式与高性能存储模组,remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,001309,德明利,CN,存储/HBM,candidate,low,needs_review,chain,,SSD与存储模组,remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,000021,深科技,CN,存储/HBM,candidate,low,needs_review,chain,,存储模组制造与封装测试,remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,301018,申菱环境,CN,数据中心电力,candidate,low,needs_review,chain,,数据中心专用空调和液冷系统,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,688676,金盘科技,CN,数据中心电力,candidate,low,needs_review,chain,,干式变压器、储能与数字化电力设备,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002050,三花智控,CN,其他链上环节,candidate,low,needs_review,chain,,热管理、执行器与机器人零部件,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,601689,拓普集团,CN,其他链上环节,candidate,low,needs_review,chain,,底盘、热管理与机器人执行器映射,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,688017,绿的谐波,CN,其他链上环节,candidate,low,needs_review,chain,,谐波减速器,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,688322,奥比中光,CN,其他链上环节,candidate,low,needs_review,chain,,3D视觉传感,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,003816,中国广核,CN,数据中心电力,candidate,low,needs_review,chain,,核电站开发运营与稳定现金流,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,002179,中航光电,CN,其他链上环节,candidate,low,needs_review,chain,,航空航天与高可靠连接器,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,688297,中无人机,CN,其他链上环节,candidate,low,needs_review,chain,,大型固定翼无人机系统,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,002389,航天彩虹,CN,其他链上环节,candidate,low,needs_review,chain,,无人机系统与膜材料,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,600111,北方稀土,CN,其他链上环节,candidate,low,needs_review,chain,,轻稀土资源、冶炼分离和价格弹性,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
