"链id","链名","代码","名称","市场","环节","关系档","触发组","置信","证据状态","来源","reason"
"data-center-power","AI 数据中心电力基础设施链","601985","中国核电","CN","核电运营","weak","","low","needs_review","insight","在运在建核电资产,「算力耗电」宏大叙事的最远端,与数据中心建设无直接业务连接"
"data-center-power","AI 数据中心电力基础设施链","003816","中国广核","CN","核电运营","weak","","low","needs_review","insight","核电站开发运营,稳定现金流类资产,和数据中心订单缺明确连接"
"ai-infra","AI 推理基础设施链","688111","金山办公","CN","办公 / 生产力 AI","indirect","","medium","partially_verified","insight","WPS AI 有真实付费用户与订阅收入,应用链里自身 AI 业务可验证性相对高;但与海外应用无业务关系,受益看自身 AI 付费转化"
"ai-infra","AI 推理基础设施链","300033","同花顺","CN","金融信息 AI","indirect","","medium","partially_verified","insight","金融信息 AI 有付费用户与增值服务,受 AI 应用趋势间接带动;和海外应用无供货,看自身 AI 增值收入兑现"
"ai-infra","AI 推理基础设施链","002230","科大讯飞","CN","语音 / 多模态 AI","indirect","","medium","partially_verified","insight","语音 / 多模态 AI + 政企订单有真实 AI 业务;受趋势间接带动,看政企 / 教育 / 医疗 AI 订单兑现,商业化节奏不一"
"ai-infra","AI 推理基础设施链","300418","昆仑万维","CN","大模型 / AIGC 平台","sentiment","","low","needs_review","insight","天工大模型 / AIGC 题材热,但 AI 收入占比小、商业化早期,海外应用涨多为情绪带动"
"ai-infra","AI 推理基础设施链","601360","三六零","CN","安全 / 垂直 AI","sentiment","","low","needs_review","insight","360 智脑 / AI 搜索题材,AI 收入占比小,情绪映射为主"
"ai-infra","AI 推理基础设施链","300496","中科创达","CN","端侧 AI 软件","sentiment","","medium","partially_verified","insight","端侧 AI 软件 / OS 与海外企业级应用不同赛道,受泛 AI 应用情绪带动,非同一驱动"
"ai-infra","AI 推理基础设施链","000977","浪潮信息","CN","服务器/算力代工","direct","","low","needs_review","manual","服务器整机环节，后续看 AI 服务器订单、运营商/云厂/政企客户、收入和毛利率"
"ai-infra","AI 推理基础设施链","002281","光迅科技","CN","光模块/高速互连","indirect","","low","needs_review","manual","光模块/光芯片相关，可从 candidate 升间接；需补高速数通光模块/客户/订单证据，不建议直接。"
"ai-infra","AI 推理基础设施链","300570","太辰光","CN","光模块/高速互连","indirect","","low","needs_review","manual","无源光器件/光模块上游，升间接；说明是上游器件，不是光模块整机直接映射。"
"ai-infra","AI 推理基础设施链","002463","沪电股份","CN","服务器/算力代工","indirect","","low","needs_review","manual","AI 服务器 PCB，升间接；不是整机直接，后续看 AI 服务器 PCB订单/客户/毛利。"
"ai-infra","AI 推理基础设施链","002916","深南电路","CN","服务器/算力代工","indirect","","low","needs_review","manual","PCB/封装基板相关，升间接；需 AI 服务器/封装基板收入验证。"
"ai-infra","AI 推理基础设施链","300476","胜宏科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","高阶 PCB/HDI 可升间接；需 AI 服务器订单和收入占比验证。"
"ai-infra","AI 推理基础设施链","600183","生益科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","覆铜板属 AI 服务器 PCB 上游材料，升间接；传导隔一层，需订单验证。"
"ai-infra","AI 推理基础设施链","688521","芯原股份","CN","国产算力芯片","sentiment","","low","needs_review","manual","芯片 IP/设计平台属国产半导体生态，不是 AI 推理基础设施短传导，先 sentiment 或移入国产芯片链。"
"ai-infra","AI 推理基础设施链","301269","华大九天","CN","国产算力芯片","sentiment","","low","needs_review","manual","EDA 属半导体设计工具，建议移入半导体设备/EDA链；若留 AI 推理仅 sentiment。"
"ai-infra","AI 推理基础设施链","000063","中兴通讯","CN","光模块/高速互连","indirect","","low","needs_review","manual","通信设备/算力服务器/交换网络相关，升间接；建议环节改“服务器/网络设备”，不要放光模块。"
"ai-infra","AI 推理基础设施链","000938","紫光股份","CN","光模块/高速互连","indirect","","low","needs_review","manual","新华三服务器/交换机相关，升间接；建议环节改“服务器/网络设备”。"
"ai-infra","AI 推理基础设施链","002475","立讯精密","CN","服务器/算力代工","indirect","","low","needs_review","manual","连接器/算力组件属硬件上游，升间接；需服务器/数据中心订单验证。"
"ai-infra","AI 推理基础设施链","002261","拓维信息","CN","服务器/算力代工","sentiment","","low","needs_review","manual","华为昇腾生态映射更偏国产算力情绪/生态，先改 sentiment；需订单/收入证据再考虑 indirect。"
"ai-infra","AI 推理基础设施链","300442","润泽科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","AIDC/智算集群/液冷运维与算力基础设施相关，升间接；需收入和客户验证。"
"ai-infra","AI 推理基础设施链","000988","华工科技","CN","光模块/高速互连","indirect","","low","needs_review","manual","数通光模块/激光器相关，升间接；需验证数据中心光模块收入和客户。"
"ai-infra","AI 推理基础设施链","688498","源杰科技","CN","光模块/高速互连","indirect","","low","needs_review","manual","高速激光器芯片属光模块上游，升间接；需订单/收入验证。"
"ai-infra","AI 推理基础设施链","603228","景旺电子","CN","服务器/算力代工","indirect","","low","needs_review","manual","多品类 PCB 与 AI 服务器板升级相关，升间接；需客户/订单验证。"
"ai-infra","AI 推理基础设施链","002436","兴森科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","IC封装基板/高速 PCB，升间接；需封装基板和 AI 服务器链条证据。"
"ai-infra","AI 推理基础设施链","603256","宏和科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","高端电子级玻纤布/低介电材料属 PCB 上游，升间接但不得直接。"
"ai-infra","AI 推理基础设施链","605589","圣泉集团","CN","服务器/算力代工","indirect","","low","needs_review","manual","电子材料/树脂属 PCB/封装材料上游，升间接，需 AI 服务器/封装客户验证。"
"ai-infra","AI 推理基础设施链","301217","铜冠铜箔","CN","服务器/算力代工","indirect","","low","needs_review","manual","电子铜箔属 PCB 上游材料，升间接；传导较远，需订单验证。"
"ai-infra","AI 推理基础设施链","301511","德福科技","CN","服务器/算力代工","indirect","","low","needs_review","manual","电子电路铜箔属 PCB 上游材料，升间接；传导较远，需订单验证。"
"ai-infra","AI 推理基础设施链","300474","景嘉微","CN","国产算力芯片","sentiment","","low","needs_review","manual","国产 GPU 稀缺标的，但和海外 AI 推理链无供货传导，先 sentiment；需订单/收入验证。"
"ai-infra","AI 推理基础设施链","603019","中科曙光","CN","服务器/算力代工","indirect","","low","needs_review","manual","国产算力整机/海光关联，可升间接；需整机订单和收入验证。"
"ai-infra","AI 推理基础设施链","300563","神宇股份","CN","铜连接/高速互连(铜)","indirect","","low","needs_review","manual","高速线缆/铜连接二线，升间接；需 GB/AI服务器铜连接客户验证。"
"ai-infra","AI 推理基础设施链","688702","盛科通信","CN","光模块/高速互连","indirect","","low","needs_review","manual","国产交换芯片与 AI 网络相关，升间接；需数据中心交换芯片订单/客户验证。"
"ai-infra","AI 推理基础设施链","300620","光库科技","CN","光模块/高速互连","indirect","","low","needs_review","manual","薄膜铌酸锂/光器件/CPO 上游，升间接；需验证数据中心客户和收入占比。"
"ai-infra","AI 推理基础设施链","603083","剑桥科技","CN","光模块/高速互连","indirect","","low","needs_review","manual","数通光模块/CPO 概念，可升间接但置信不高；需客户和订单验证。"
"ai-infra","AI 推理基础设施链","688313","仕佳光子","CN","光模块/高速互连","indirect","","low","needs_review","manual","光模块上游器件，升间接；需业务暴露验证。"
"ai-infra","AI 推理基础设施链","NVDA","英伟达","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","AI 算力霸主,GPU 绝对龙头"
"ai-infra","AI 推理基础设施链","AMD","超威半导体","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","GPU 第二极,MI 系列对标英伟达"
"ai-infra","AI 推理基础设施链","AVGO","博通","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","定制 ASIC + 网络芯片双轮"
"ai-infra","AI 推理基础设施链","TSM","台积电","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","先进制程独家代工"
"ai-infra","AI 推理基础设施链","MU","美光","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","HBM 高带宽存储三巨头之一"
"ai-infra","AI 推理基础设施链","MRVL","迈威尔","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光 DSP + 定制芯片"
"ai-infra","AI 推理基础设施链","ARM","Arm","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","全球 CPU 架构 IP 授权"
"ai-infra","AI 推理基础设施链","INTC","英特尔","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","x86 CPU 老牌龙头"
"ai-infra","AI 推理基础设施链","SMCI","超微电脑","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","AI 服务器整机弹性标的"
"ai-infra","AI 推理基础设施链","DELL","戴尔","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","企业级 AI 服务器主力"
"ai-infra","AI 推理基础设施链","ANET","Arista","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","数据中心高速交换机龙头"
"ai-infra","AI 推理基础设施链","VRT","Vertiv","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","数据中心液冷与供配电"
"ai-infra","AI 推理基础设施链","MSFT","微软","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","Azure + OpenAI 算力买方"
"ai-infra","AI 推理基础设施链","GOOGL","谷歌","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","自研 TPU + 云需求"
"ai-infra","AI 推理基础设施链","AMZN","亚马逊","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","AWS 全球最大云厂"
"ai-infra","AI 推理基础设施链","META","Meta","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","开源大模型 + 巨额算力投入"
"ai-infra","AI 推理基础设施链","ORCL","甲骨文","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","OCI 云 + RPO 暴增"
"ai-infra","AI 推理基础设施链","PLTR","Palantir","US","海外事件触发源","trigger","ai-application","medium","manual_only","chain","AI 落地应用平台"
"ai-infra","AI 推理基础设施链","CRWV","CoreWeave","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","纯 GPU 云租赁新贵"
"ai-infra","AI 推理基础设施链","COHR","相干","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光器件与光芯片"
"ai-infra","AI 推理基础设施链","DLR","Digital Realty","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","全球数据中心 REIT"
"ai-infra","AI 推理基础设施链","LITE","Lumentum Holdings","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光器件与数据中心互联"
"ai-infra","AI 推理基础设施链","FN","Fabrinet","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光通信代工"
"ai-infra","AI 推理基础设施链","CIEN","Ciena","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光网络系统"
"ai-infra","AI 推理基础设施链","GLW","Corning","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","光纤与特种材料"
"ai-infra","AI 推理基础设施链","WDC","Western Digital","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","大容量HDD"
"ai-infra","AI 推理基础设施链","SNDK","Sandisk","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","NAND与企业级SSD"
"ai-infra","AI 推理基础设施链","STX","Seagate Technology","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","大容量HDD"
"ai-infra","AI 推理基础设施链","CLS","Celestica","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","ODM制造"
"ai-infra","AI 推理基础设施链","NBIS","Nebius Group","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","AI基础设施服务"
"data-center-power","AI 数据中心电力基础设施链","CVX","Chevron","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","综合油气与基础负荷"
"data-center-power","AI 数据中心电力基础设施链","LNG","Cheniere Energy","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","液化天然气出口"
"data-center-power","AI 数据中心电力基础设施链","GEV","GE Vernova","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","电网与燃气轮机"
"data-center-power","AI 数据中心电力基础设施链","BE","Bloom Energy","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","燃料电池与分布式供电"
"data-center-power","AI 数据中心电力基础设施链","FLNC","Fluence Energy","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","储能系统"
"data-center-power","AI 数据中心电力基础设施链","AES","The AES Corporation","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","公用事业与可再生能源"
"data-center-power","AI 数据中心电力基础设施链","SMR","NuScale Power","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","小型模块化反应堆"
"data-center-power","AI 数据中心电力基础设施链","OKLO","Oklo","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","微型反应堆"
"data-center-power","AI 数据中心电力基础设施链","UUUU","Energy Fuels","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","铀矿与稀土"
"ai-infra","AI 推理基础设施链","GOOG","Alphabet","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","GCP、Gemini与TPU"
"ai-infra","AI 推理基础设施链","NOW","ServiceNow","US","海外事件触发源","trigger","ai-application","medium","manual_only","chain","企业SaaS与AI工作流"
"ai-infra","AI 推理基础设施链","SNOW","Snowflake","US","海外事件触发源","trigger","ai-application","medium","manual_only","chain","云数据平台"
"ai-infra","AI 推理基础设施链","RDDT","Reddit","US","海外事件触发源","trigger","ai-application","medium","manual_only","chain","社区内容与AI数据授权"
"ai-infra","AI 推理基础设施链","CRDO","Credo Technology","US","海外事件触发源","trigger","ai-infra","medium","manual_only","chain","AEC、SerDes与高速连接芯片"
"data-center-power","AI 数据中心电力基础设施链","ETN","Eaton","US","海外事件触发源","trigger","data-center-power","medium","manual_only","chain","配电、UPS与电气设备"
